F,W,Z,Down,Up
53,35,3,0.33333333333333337,0.40441176470588236
65,35,3,0.4224137931034483,0.37681159420289856
77,35,3,0.18320610687022898,0.6120689655172413
89,35,3,0.2547169811320755,0.6564885496183206
101,35,3,0.4117647058823529,0.7075471698113207
113,35,3,0.2222222222222222,0.6862745098039216
125,35,3,0.27450980392156865,0.7777777777777778
41,39,3,0.0,0
53,39,3,0.08333333333333337,0.31007751937984496
65,39,3,0.5963855421686747,0.3888888888888889
77,39,3,0.33333333333333337,0.5421686746987951
89,39,3,0.2615384615384615,0.6
101,39,3,0.29729729729729726,0.6846153846153846
113,39,3,0.3421052631578947,0.7567567567567568
125,39,3,0.15384615384615385,0.8421052631578947
53,43,3,0.0,0
65,43,3,0.2857142857142857,0.568
77,43,3,0.40306122448979587,0.6428571428571429
89,43,3,0.43262411347517726,0.5102040816326531
101,43,3,0.4,0.5106382978723404
113,43,3,0.24,0.5666666666666667
125,43,3,0.15909090909090906,0.8
17,7,4,0.0,0
29,7,4,0.24817518248175185,0.4626865671641791
41,7,4,0.5573770491803278,0.656934306569343
53,7,4,0.4375,0.639344262295082
65,7,4,0.19047619047619047,0.9375
77,7,4,0.18918918918918914,0.8095238095238095
89,7,4,0.47540983606557374,0.8108108108108109
101,7,4,0.4411764705882353,0.7377049180327869
113,7,4,0.45599999999999996,0.7941176470588235
125,7,4,0.3793103448275862,0.672
17,11,4,0.0,0
29,11,4,0.1923076923076923,0.3024390243902439
41,11,4,0.41666666666666663,0.40384615384615385
53,11,4,0.4392523364485982,0.625
65,11,4,0.2597402597402597,0.7757009345794392
77,11,4,0.20879120879120883,0.7142857142857143
89,11,4,0.47540983606557374,0.7252747252747253
101,11,4,0.36936936936936937,0.7049180327868853
113,11,4,0.19999999999999996,0.6486486486486487
125,11,4,0.2857142857142857,0.7
17,15,4,0.0,0
29,15,4,0.18644067796610164,0.3302180685358255
41,15,4,0.5357142857142857,0.5423728813559322
53,15,4,0.4130434782608695,0.44642857142857145
65,15,4,0.08771929824561409,0.6956521739130435
77,15,4,0.07999999999999996,0.7543859649122807
89,15,4,0.23529411764705888,0.74
101,15,4,0.12,0.7058823529411765
113,15,4,0.18181818181818177,0.72
125,15,4,0.17105263157894735,0.5757575757575758
29,19,4,0.0,0
41,19,4,0.3916666666666667,0.28125
53,19,4,0.13414634146341464,0.375
65,19,4,0.25757575757575757,0.7195121951219512
77,19,4,0.0,0.7424242424242424
89,19,4,0.0,0.6296296296296297
101,19,4,0.2870370370370371,0.6666666666666666
113,19,4,0.3214285714285714,0.5833333333333334
125,19,4,0.05797101449275366,0.6785714285714286
29,23,4,0.0,0
41,23,4,0.19999999999999996,0.3684210526315789
53,23,4,0.22857142857142854,0.5333333333333333
65,23,4,0.22077922077922074,0.6071428571428571
77,23,4,0.1428571428571429,0.8441558441558441
89,23,4,0.25,0.7142857142857143
101,23,4,0.23076923076923073,0.625
113,23,4,0.29139072847682124,0.7692307692307693
125,23,4,0.37662337662337664,0.7814569536423841
29,27,4,0.0,0
41,27,4,0.21621621621621623,0.3237410071942446
53,27,4,0.326530612244898,0.35135135135135137
65,27,4,0.21518987341772156,0.6020408163265306
77,27,4,0.5,0.7848101265822784
